Name,Year
Star Wars: Episode IV - A New Hope,1977
Star Wars: Episode V - The Empire Strikes Back,1980
Star Wars: Episode VI - Return of the Jedi,1983
Sicario,2015
The Martian,2015
Inside Out,2015
Ex Machina,2015
The Hunger Games: Mockingjay Part 2,2015
Ant-Man,2015
Spectre,2015
The Shining,1980
Pulp Fiction,1994
Se7en,1995
Reservoir Dogs,1992
The Matrix,1999
The Silence of the Lambs,1991
American Beauty,1999
Schindler's List,1993
Kill Bill: Vol. 1,2003
Memento,2000
Children of Men,2006
Requiem for a Dream,2000
The Incredibles,2004
Brokeback Mountain,2005
Birdman or (The Unexpected Virtue of Ignorance),2014
Gone Girl,2014
Django Unchained,2012
Sin City,2005
Moneyball,2011
Nightcrawler,2014
The Avengers,2012
Avengers: Age of Ultron,2015
Need for Speed,2014
Jurassic Park,1993
Shame,2011
Interstellar,2014
Batman Begins,2005
The Wolf of Wall Street,2013
127 Hours,2010
Slumdog Millionaire,2008
Cars,2006
Captain Phillips,2013
The Green Mile,1999
The Da Vinci Code,2006
The Hunt,2012
The Hunger Games,2012
Argo,2012
21 Jump Street,2012
This Means War,2012
Gravity,2013
American Hustle,2013
Pacific Rim,2013
Iron Man 3,2013
Frozen,2013
Dallas Buyers Club,2013
The Hobbit: The Desolation of Smaug,2013
The Great Gatsby,2013
Guardians of the Galaxy,2014
Boyhood,2014
Captain America: The Winter Soldier,2014
Edge of Tomorrow,2014
The Imitation Game,2014
Still Alice,2014
The Gift,2015
Spy,2015
Mystic River,2003
Finding Nemo,2003
The Pianist,2002
Life Is Beautiful,1997
Donnie Brasco,1997
Star Wars: Episode VII - The Force Awakens,2015
Battleship,2012
Zombeavers,2014
Kingsman: The Secret Service,2014
Escape from Alcatraz,1979
Carol,2015
My Neighbor Totoro,1988
Yes Man,2008
Bridge of Spies,2015
Iron Sky,2012
The Devil Wears Prada,2006
50/50,2011
The Dark Knight Rises,2012
The Hateful Eight,2015
The Departed,2006
Rust and Bone,2012
To Kill a Mockingbird,1962
A Dangerous Method,2011
Cobain: Montage of Heck,2015
Lazer Team,2015
Catch Me If You Can,2002
Big Hero 6,2014
Deadpool,2016
Rear Window,1954
Vertigo,1958
Hitchcock/Truffaut,2015
Fellini's Roma,1972
The Swan Princess,1994
How to Train Your Dragon,2010
How to Train Your Dragon 2,2014
Amour,2012
Dogma,1999
American History X,1998
The Breakfast Club,1985
Shaun of the Dead,2004
The Grand Budapest Hotel,2014
The Jungle Book,2016
The Wizard of Oz,1939
The Maltese Falcon,1941
12 Angry Men,1957
Ratchet & Clank,2016
Casablanca,1942
On the Waterfront,1954
Captain America: Civil War,2016
Dial M for Murder,1954
All About Eve,1950
Breakfast at Tiffany's,1961
Cat on a Hot Tin Roof,1958
It's a Wonderful Life,1946
Psycho,1960
The Bridge on the River Kwai,1957
A Streetcar Named Desire,1951
The Seven Year Itch,1955
Citizen Kane,1941
Warcraft,2016
Elle,2016
The Nice Guys,2016
The Wave,2015
Jane Eyre,2011
Finding Dory,2016
Frank,2014
Ghostbusters,2016
Straight Outta Compton,2015
Rush,2013
Neighbors 2: Sorority Rising,2016
Jaws,1975
Now You See Me 2,2016
From Dusk Till Dawn,1996
The Bourne Identity,2002
The Bourne Supremacy,2004
A Single Man,2009
Raging Bull,1980
The Bourne Ultimatum,2007
Jason Bourne,2016
War Dogs,2016
City of God,2002
Monster,2003
Taxi Driver,1976
The Exorcist,1973
Groundhog Day,1993
Hell or High Water,2016
The Light Between Oceans,2016
Waterboys,2016
Snowden,2016
Inferno,2016
Wild Strawberries,1957
Captain Fantastic,2016
Doctor Strange,2016
Before the Flood,2016
Lo and Behold: Reveries of the Connected World,2016
Citizenfour,2014
12 Years a Slave,2013
Bad Ass,2012
Toni Erdmann,2016
Hardcore Henry,2015
The Big Lebowski,1998
Oldboy,2003
Jesus Camp,2006
Fantastic Beasts and Where to Find Them,2016
Bo Burnham: Make Happy,2016
2001: A Space Odyssey,1968
Fear and Loathing in Las Vegas,1998
Whiplash,2014
Rogue One: A Star Wars Story,2016
Tickled,2016
13th,2016
Assassin's Creed,2016
McCullin,2012
Inception,2010
The Great Escape,1963
Snitch,2013
Hacksaw Ridge,2016
Making a Murderer,2015
"Fat, Sick & Nearly Dead",2010
Punch-Drunk Love,2002
Rosemary's Baby,1968
The Hobbit: An Unexpected Journey,2012
The Lobster,2015
Jackie,2016
Their Finest,2016
My Blind Date with Life,2017
Hidden Figures,2016
Gold,2016
Gattaca,1997
Blade Runner,1982
Eternal Sunshine of the Spotless Mind,2004
Persona,1966
The Piano Teacher,2001
Moonlight,2016
Manchester by the Sea,2016
John Wick: Chapter 2,2017
Alien,1979
The Fear of 13,2015
No Country for Old Men,2007
Patriots Day,2016
Amy Schumer: The Leather Special,2017
There Will Be Blood,2007
My Super Ex-Girlfriend,2006
Twin Peaks,1989
Fences,2016
Logan,2017
Boogie Nights,1997
The Umbrellas of Cherbourg,1964
Sunset Boulevard,1950
Hot Fuzz,2007
"Synecdoche, New York",2008
Guardians of the Galaxy Vol. 2,2017
Aliens,1986
District 9,2009
Dear Zachary: A Letter to a Son About His Father,2008
Cache,2005
EuroTrip,2004
The Royal Tenenbaums,2001
Alien 3,1992
20th Century Women,2016
Weiner,2016
Alien Resurrection,1997
John Wick,2014
Scott Pilgrim vs. the World,2010
Fight Club,1999
The Social Network,2010
Baby Driver,2017
Prometheus,2012
It Comes at Night,2017
War for the Planet of the Apes,2017
Zodiac,2007
Okja,2017
Dunkirk,2017
The Terminator,1984
Terminator 2: Judgment Day,1991
"Everything, Everything",2017
Badlands,1973
Shoah,1985
Let the Right One In,2008
Alien: Covenant,2017
Event Horizon,1997
Poultrygeist: Night of the Chicken Dead,2006
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
In the Mood for Love,2000
The Apartment,1960
Atomic Blonde,2017
Blow Out,1981
Loveless,2017
You Were Never Really Here,2017
Stronger,2017
The Glass Castle,2017
Thor: Ragnarok,2017
Die Hard 2,1990
Die Hard With a Vengeance,1995
Battle of the Sexes,2017
Kingsman: The Golden Circle,2017
Predator,1987
Live Free or Die Hard,2007
Moana,2016
Get Out,2017
Happy End,2017
Star Wars: The Last Jedi,2017
Magnolia,1999
"Paris, Texas",1984
The Master,2012
The Thing,1982
Starship Troopers,1997
I Am Not Your Negro,2016
The Doors,1991
mother!,2017
All About My Mother,1999
Goodbye Christopher Robin,2017
The Post,2017
"I, Tonya",2017
The Shape of Water,2017
The Florida Project,2017
Prisoners,2013
The Neon Demon,2016
The Deer Hunter,1978
The Room,2003
Dancer in the Dark,2000
Disaster Movie,2008
Hellboy,2004
Independence Day,1996
Pink Floyd: The Wall,1982
Annihilation,2018
The Act of Killing,2012
The Hottie & The Nottie,2008
Valkyrie,2008
Avengers: Infinity War,2018
La La Land,2016
Blue Velvet,1986
Network,1976
Hereditary,2018
Spirited Away,2001
Grizzly Man,2005
Romancing the Stone,1984
The Goonies,1985
Pan's Labyrinth,2006
Deadpool 2,2018
Ready Player One,2018
Enemy Mine,1985
Good Will Hunting,1997
Crazy Rich Asians,2018
"O Brother, Where Art Thou?",2000
Akira,1988
Good Time,2017
Easy Rider,1969
Lucy,2014
The Invitation,2015
Icarus,2017
La Haine,1995
Apocalypse Now,1979
Roma,2018
Black Mirror: Bandersnatch,2018
Possession,1981
"4 Months, 3 Weeks and 2 Days",2007
The Road,2009
Hunt for the Wilderpeople,2016
The Edge of Seventeen,2016
Pride and Prejudice and Zombies,2016
Train to Busan,2016
The Abyss,1989
The Beach Bum,2019
A Scanner Darkly,2006
Fahrenheit 9/11,2004
Bullhead,2011
Mean Streets,1973
Only Lovers Left Alive,2013
The Game,1997
Bird Box,2018
Cleo from 5 to 7,1962
Big Trouble in Little China,1986
This Is Spinal Tap,1984
Spotlight,2015
The Breadwinner,2017
Inglourious Basterds,2009
Star Wars: Episode I - The Phantom Menace,1999
Antichrist,2009
All the President's Men,1976
John Wick: Chapter 3 - Parabellum,2019
Funny Games,1997
High Life,2018
Weird Science,1985
We Need to Talk About Kevin,2011
Hunger,2008
Soylent Green,1973
The Conversation,1974
Son of Saul,2015
The Meyerowitz Stories (New and Selected),2017
Brazil,1985
Zero Dark Thirty,2012
Once Upon a Time... in Hollywood,2019
Phantom Thread,2017
Man on Wire,2008
45 Years,2015
Cube,1997
Searching,2018
Perfect Blue,1997
The Graduate,1967
Harold & Kumar Go to White Castle,2004
Chinatown,1974
When They See Us,2019
Suspiria,1977
Ad Astra,2019
Enter the Void,2009
Christine,1983
Sleeping Beauty,1959
Moon,2009
The Fanatic,2019
Metallica and San Francisco Symphony: S&M2,2019
Joker,2019
Replicas,2018
Parasite,2019
Marriage Story,2019
Eraserhead,1977
Otto e mezzo,1963
Green Room,2015
Star Wars: The Rise of Skywalker,2019
The Irishman,2019
The Lord of the Rings: The Two Towers,2002
The Lord of the Rings: The Return of the King,2003
1917,2019
All That Jazz,1979
Uncut Gems,2019
Polytechnique,2009
Blow-Up,1966
Sand Sharks,2011
The Boy Who Harnessed the Wind,2019
Midsommar,2019
The Lighthouse,2019
Cool Hand Luke,1967
Little Women,2019
Room,2015
Knives Out,2019
The Texas Chain Saw Massacre,1974
Frances Ha,2012
The Witch,2015
Machete,2010
My Scientology Movie,2015
Ida,2013
Portrait of a Lady on Fire,2019
The Big Short,2015
"I, Daniel Blake",2016
The Prestige,2006
Bicycle Thieves,1948
Andhadhun,2018
The Invisible Guest,2016
Cries and Whispers,1972
Grave of the Fireflies,1988
"The Good, the Bad and the Ugly",1966
Ikiru,1952
Overlord,2018
In the Name of the Father,1993
An American Werewolf in London,1981
The Handmaiden,2016
Crash,1996
The Karate Kid,1984
Tenet,2020
Breathless,1960
Chasing Amy,1997
Blade Runner 2049,2017
Two Is a Family,2016
Hamilton,2020
Stalker,1979
The Lego Movie,2014
Valerian and the City of a Thousand Planets,2017
As It Is in Heaven,2004
Jojo Rabbit,2019
The Night Before,2015
Rundfunk: Jachterwachter,2020
The Midnight Sky,2020
Split,2016
REC,2007
Bride Wars,2009
Eyes Wide Shut,1999
RoboCop,1987
Ocean's Eleven,2001
Tully,2018
The Double Life of Veronique,1991
The Road to El Dorado,2000
Bill & Ted's Excellent Adventure,1989
A Man Called Ove,2015
Private Life,2018
Sorry We Missed You,2019
Outland,1981
Arrival,2016
The Mummy,1999
Raya and the Last Dragon,2021
Double Indemnity,1944
Thank You for Smoking,2005
Police Academy,1984
The Hangover,2009
Kramer vs. Kramer,1979
Veronica,2017
Kiki's Delivery Service,1989
Nomadland,2020
6 Souls,2010
The Marriage Escape,2020
The Truman Show,1998
Her,2013
The Mask of Zorro,1998
Sing Street,2016
Pride & Prejudice,2005
The World's End,2013
Mudbound,2017
Onward,2020
Moonrise Kingdom,2012
"Three Billboards Outside Ebbing, Missouri",2017
Raw,2016
Spring Breakers,2012
The Last House on the Left,1972
Swiped,2018
Rumor Has It,2005
Dune,1984
Incendies,2010
Memories of Murder,2003
American Psycho,2000
Petite Maman,2021
Promising Young Woman,2020
Hush,2016
Dune,2021
Borat Subsequent Moviefilm,2020
Lovelace,2013
The French Dispatch,2021
Benedetta,2021
Wild at Heart,1990
Luca,2021
Spider-Man: Homecoming,2017
Spider-Man: Far From Home,2019
Spider-Man: No Way Home,2021
Lady Bird,2017
Another Round,2020
Booksmart,2019
Paths of Glory,1957
Munich: The Edge of War,2021
Look Who's Back,2015
March of the Penguins,2005
When Harry Met Sally,1989
Fish Tank,2009
Sound of Metal,2019
West Side Story,2021
Licorice Pizza,2021
Twin Peaks: Fire Walk with Me,1992
Call Me by Your Name,2017
Melancholia,2011
RRR,2022
Thirteen Lives,2022
The Host,2006
One Fine Morning,2022
Us,2019
The Menu,2022
The Banshees of Inisherin,2022
Broker,2022
Close,2022
Green Book,2018
In Bruges,2008
Triangle of Sadness,2022
Secretary,2002
Benny's Video,1992
Vice,2018
Barry Lyndon,1975
Being John Malkovich,1999
John Wick: Chapter 4,2023
The Unbearable Weight of Massive Talent,2022
The Worst Person in the World,2021
Aftersun,2022
"Good Luck to You, Leo Grande",2022
The Lives of Others,2006
Wind River,2017
Spider-Man: Into the Spider-Verse,2018
Star Trek III: The Search for Spock,1984
Stand by Me,1986
Back to the Future,1985
Game Night,2018
Star Trek IV: The Voyage Home,1986
Closer,2004
The Power of the Dog,2021
Dogtooth,2009
The Day After Tomorrow,2004
Tusk,2014
Once Upon a Time in Anatolia,2011
Inside Man,2006
Star Trek V: The Final Frontier,1989
Chernobyl,2019
Barbie,2023
The Wrestler,2008
Oppenheimer,2023
Nope,2022
Star Trek VI: The Undiscovered Country,1991
Star Trek: The Motion Picture,1979
Dumb Money,2023
Iron Man,2008
Killers of the Flower Moon,2023
I'm Your Man,2021
The Killer,2023
Anatomy of a Fall,2023
Winter Sleep,2014
Mommy,2014
Paddington,2014
The Killing Fields,1984
Who Framed Roger Rabbit,1988
Avengers: Endgame,2019
Die Hard,1988
The Old Oak,2023
Paddington 2,2017
Porco Rosso,1992
Guardians of the Galaxy Vol. 3,2023
Master and Commander: The Far Side of the World,2003
Poor Things,2023
Dune: Part Two,2024
The Zone of Interest,2023
Austin Powers: International Man of Mystery,1997
Shrek,2001
Idiocracy,2006
About Dry Grasses,2023
The Lord of the Rings: The Fellowship of the Ring,2001
The Vanishing,1988
Erin Brockovich,2000
Il Posto,1961
The Death of Stalin,2017
Jackass Forever,2022
Witness for the Prosecution,1957
Hit Man,2023
Atonement,2007
La Chimera,2023
Perfect Days,2023
"Are You There God? It's Me, Margaret.",2023
A Woman Under the Influence,1974
The Fall Guy,2024
Mustang,2015
The Holdovers,2023
A Separation,2011
The Celebration,1998
Babylon,2022
Legally Blonde,2001
Notting Hill,1999
Snakes on a Plane,2006
Bridesmaids,2011
Everything Everywhere All at Once,2022
Tenacious D in The Pick of Destiny,2006
Hot Tub Time Machine,2010
Blood Simple,1984
Fargo,1996
Dazed and Confused,1993
Risky Business,1983
In Order of Disappearance,2014
Toy Story 2,1999
Toy Story,1995
The Substance,2024
The Producers,1967
Toy Story 3,2010
Swiss Army Man,2016
"Oslo, August 31st",2011
Clueless,1995
E.T. the Extra-Terrestrial,1982
The Wild Robot,2024
The Rocky Horror Picture Show,1975
She's Gotta Have It,1986
But I'm a Cheerleader,1999
Inside Out 2,2024
Bottoms,2023
Anora,2024
The Godfather,1972
The Godfather Part II,1974
Home Alone,1990
Raiders of the Lost Ark,1981
Nosferatu,2024
Minari,2020
Flow,2024
Babygirl,2024
Mulholland Drive,2001
Claudine,1974
The Piano,1993
The Brutalist,2024
Pride,2014
Chicken Run: Dawn of the Nugget,2023
Malcolm X,1992
Little Miss Sunshine,2006
Black Panther,2018
Gladiator,2000
Mickey 17,2025
BlacKkKlansman,2018
Harakiri,1962
The Discreet Charm of the Bourgeoisie,1972
The Skin I Live In,2011
25th Hour,2002
Friday,1995
Sinners,2025
Seven Samurai,1954
Black Bag,2025
Super Mario Bros.,1993
Office Space,1999
Adaptation.,2002
The Look of Silence,2014
Before Sunrise,1995
Before Sunset,2004
Before Midnight,2013
Some Like It Hot,1959
Paris Is Burning,1990
Howl's Moving Castle,2004
The Secret Life of Walter Mitty,2013
The Emperor's New Groove,2000
Happiness,1998
Juror #2,2024
Up,2009
Love Lies Bleeding,2024
Free Solo,2018
The Rock,1996
Companion,2025
The Iron Giant,1999
Kiss Kiss Bang Bang,2005
The Assistant,2019
"Girl, Interrupted",1999
Popstar: Never Stop Never Stopping,2016
My Old Ass,2024
Eighth Grade,2018
The Babadook,2014
Jungle Fever,1991
L.A. Confidential,1997
Rain Man,1988
The Life of Chuck,2024
Boyz n the Hood,1991
One of Them Days,2025
KPop Demon Hunters,2025
Dangerous Animals,2025
April,2024
One Battle After Another,2025
Glory,1989
The King of Comedy,1982
The Remains of the Day,1993
Jerry Maguire,1996
Mo' Better Blues,1990
Rashomon,1950
"Quo Vadis, Aida?",2020
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975
The Running Man,2025
Amadeus,1984
Glass Onion,2022
Sentimental Value,2025
Wake Up Dead Man,2025
God's Own Country,2017
Palm Springs,2020
Snowpiercer,2013
Marty Supreme,2025
Bugonia,2025
The Conformist,1970
My Cousin Vinny,1992
The Thin Red Line,1998
